height:  7-0 weight:  255 lbs position:  center born:  august 5, 1962, kingston, jamaica college:  georgetown
height:  6-10 weight:  235 lbs position:  forward born:  october 17, 1966, baltimore, md college:  duke
height:  6-11 weight:  250 lbs position:  center born:  october 3, 1968, oakland, ca college:  utep
height:  6-5 weight:  216 lbs position:  guard-forward born:  may 25, 1968, chicago, il college:  illinois
height:  6-10 weight:  245 lbs position:  power forward born:  march 1, 1973, detroit, mi college:  michigan
height:  7-6 weight:  265 lbs position:  center born:  march 22, 1972, landstuhl, west germany college:  brigham young
height:  6-8 weight:  247 lbs position:  forward born:  november 29, 1972, new york, ny college:  kentucky
height:  6-7 weight:  217 lbs position:  small forward born:  july 17, 1971, evansville, in college:  indiana
height:  6-6 weight:  200 lbs position:  guard born:  april 20, 1971, louisville, ky college:  tennessee
height:  6-8 weight:  228 lbs position:  forward born:  september 3, 1970, roanoke, va college:  north carolina
height:  6-7 weight:  218 lbs position:  small forward born:  january 12, 1971, new haven, ct college:  connecticut
height:  6-3 weight:  185 lbs position:  point guard born:  november 18, 1969, baltimore, md college:  florida state
height:  6-10 weight:  242 lbs position:  power forward born:  january 4, 1969, monrovia, ca college:  cincinnati
height:  6-1 weight:  195 lbs position:  point guard born:  november 27, 1971, kenosha, wi college:  cincinnati
height:  6-7 weight:  225 lbs position:  small forward born:  december 31, 1970, san bernardino, ca college:  long beach state
height:  6-0 weight:  175 lbs position:  guard born:  october 5, 1971, hopkinsville, ky college:  clemson
height:  6-0 weight:  195 lbs position:  point guard born:  september 1, 1966, chicago, il college:  utep
height:  6-9 weight:  250 lbs position:  power forward born:  march 19, 1968, cincinnati, oh college:  xavier (oh)
height:  5-11 weight:  180 lbs position:  point guard born:  march 25, 1965, new orleans, la college:  southern
height:  6-10 weight:  280 lbs position:  power forward born:  november 26, 1969, elkhart, in college:  none
height:  6-9 weight:  250 lbs position:  power forward born:  march 12, 1966, wayne, mi college:  eastern michigan
height:  5-11 weight:  165 lbs position:  point guard born:  april 13, 1967, boston, ma college:  boston college
height:  6-9 weight:  256 lbs position:  power forward born:  july 24, 1963, summerfield, la college:  louisiana tech
height:  6-11 weight:  235 lbs position:  forward born:  september 18, 1968, split, croatia college:  none
height:  6-8 weight:  210 lbs position:  forward-center born:  april 13, 1971, san antonio, tx college:  houston
height:  6-10 weight:  234 lbs position:  forward born:  may 17, 1966, hattiesburg, ms college:  kansas
height:  6-8 weight:  255 lbs position:  power forward born:  december 14, 1966, miami, fl college:  tennessee state
height:  6-9 weight:  250 lbs position:  forward-center born:  july 31, 1967, sussex, va college:  maryland
height:  6-5 weight:  218 lbs position:  shooting guard born:  december 15, 1970, los angeles, ca college:  ucla
height:  6-8 weight:  225 lbs position:  small forward born:  may 27, 1967, daytona beach, fl college:  florida state
height:  6-10 weight:  241 lbs position:  forward born:  october 10, 1966, meridian, ms college:  alabama
height:  6-7 weight:  195 lbs position:  shooting guard born:  august 24, 1965, riverside, ca college:  ucla
height:  6-7 weight:  215 lbs position:  forward born:  september 2, 1963, columbus, ga college:  mercer
height:  6-7 weight:  210 lbs position:  small forward born:  november 28, 1963, danville, va college:  richmond
height:  6-9 weight:  245 lbs position:  power forward born:  december 18, 1963, cleveland, oh college:  virginia union
height:  7-0 weight:  255 lbs position:  center born:  january 21, 1963, lagos, nigeria college:  houston
height:  6-4 weight:  180 lbs position:  point guard born:  july 23, 1968, oakland, ca college:  oregon state
height:  6-4 weight:  212 lbs position:  point guard born:  march 23, 1973, san francisco, ca college:  california
height:  6-8 weight:  225 lbs position:  small forward born:  october 5, 1972, dallas, tx college:  duke
height:  6-9 weight:  230 lbs position:  small forward born:  may 18, 1973, reading, pa college:  connecticut
height:  6-8 weight:  235 lbs position:  small forward born:  june 27, 1964, brantley, al college:  auburn
height:  6-9 weight:  254 lbs position:  power forward born:  march 5, 1972, columbus, oh college:  xavier (oh)
height:  6-8 weight:  217 lbs position:  small forward born:  january 30, 1973, detroit, mi college:  michigan
height:  6-6 weight:  215 lbs position:  shooting guard born:  september 30, 1970, steubenville, oh college:  nebraska
height:  6-5 weight:  209 lbs position:  shooting guard born:  october 2, 1972, philadelphia, pa college:  temple
height:  6-9 weight:  245 lbs position:  forward born:  may 29, 1972, boston, ma college:  boston college
height:  6-2 weight:  185 lbs position:  point guard born:  october 12, 1970, tallahassee, fl college:  florida state
height:  6-4 weight:  205 lbs position:  shooting guard born:  may 14, 1973, detroit, mi college:  minnesota
height:  6-7 weight:  228 lbs position:  small forward born:  september 25, 1965, hamburg, ar college:  central arkansas
height:  6-3 weight:  205 lbs position:  point guard born:  april 8, 1963, milwaukee, wi college:  wisconsin-stevens point
height:  6-8 weight:  220 lbs position:  guard-forward born:  may 28, 1967, flint, mi college:  michigan
height:  6-10 weight:  225 lbs position:  forward-center born:  december 16, 1966, albion, ny college:  connecticut
